index,text,audio_path
63,praha radar csa five one seven reaching flight level one five zero and,audio_files/audio_63.wav
64,to reach rapet three zero zero qatari,audio_files/audio_64.wav
65,swiss four seven three charlie stop climb at flight level one two zero only,audio_files/audio_65.wav
66,german wings seven fi,audio_files/audio_66.wav
67,csa seven five nine contact ground one two one nine,audio_files/audio_67.wav
68,german wings seven papa roger,audio_files/audio_68.wav
69,six zero maintain,audio_files/audio_69.wav
70,oscar yankee november,audio_files/audio_70.wav
71,lufthansa four hotel romeo radar contact,audio_files/audio_71.wav
72,sky travel six eight two contact praha radar one two seven decimal eight two five,audio_files/audio_72.wav
73,csa five papa charlie radar radar contact no speed descend flight level one zero zero,audio_files/audio_73.wav
74,one two one nine good bye swiss four seven two ech,audio_files/audio_74.wav
75,romeo ki,audio_files/audio_75.wav
76,four zero climbing,audio_files/audio_76.wav
77,baltu two bravo runway three one copied six six two three wizz air five nine one,audio_files/audio_77.wav
78,csa eight five seven descend to flight level one one zero,audio_files/audio_78.wav
79,lufthansa nine four november contact praha one two seven one two five good day,audio_files/audio_79.wav
80,oman air one zero two praha good morning radar contact,audio_files/audio_80.wav
81,three one two passing flight level two two seven climbing three one zero,audio_files/audio_81.wav
82,takeoff,audio_files/audio_82.wav
83,wizz air four uniform zulu contact praha one one eight decimal three seven five,audio_files/audio_83.wav
84,one one eight,audio_files/audio_84.wav
85,via hotel lima holding two four sky travel,audio_files/audio_85.wav
86,wien one three four four four zero india foxtrot bye,audio_files/audio_86.wav
87,praha austrian five five alfa delta maintain level three four zero on for the last ten mintues,audio_files/audio_87.wav
88,air berlin one one five quebec contact praha one three three three nine zero good day,audio_files/audio_88.wav
89,negative one three three three nine zero,audio_files/audio_89.wav
90,ne three five one three five three five three,audio_files/audio_90.wav
91,by a left turn to heading,audio_files/audio_91.wav
92,radar good aftenoon eight delta inbound to tusin maintaining three four zero,audio_files/audio_92.wav
93,austrian three one one november call praha one three three point three nine zero good bye,audio_files/audio_93.wav
94,csa three delta echo contact ruzyne ground one two one decimal nin nine two one nine csa,audio_files/audio_94.wav
95,please direct varik,audio_files/audio_95.wav
96,prague yangzte river se,audio_files/audio_96.wav
97,climb flight level one six zero csa six zero five zero,audio_files/audio_97.wav
98,praha departure lufthansa nine echo lima climbing five thousand passing three thousand six,audio_files/audio_98.wav
99,one zero three,audio_files/audio_99.wav
100,sky travel six seven zero contact praha radar one two seven decimal eight two five,audio_files/audio_100.wav
101,turn by ten to the left cimber three five two seven,audio_files/audio_101.wav
102,austrian seven one contact rhein one three three decimal eight,audio_files/audio_102.wav
103,dar hello lufthansa,audio_files/audio_103.wav
104,two seven eight two five air malta five three eight good day,audio_files/audio_104.wav
105,nine sierra,audio_files/audio_105.wav
106,qnh one zero two zero and four thousand feet oscar kilo delta sierra juliett,audio_files/audio_106.wav
107,hotel foxtrot three descend to flig altitude five thousand feet qnh one zero two one,audio_files/audio_107.wav
108,praha radar csa five six zero passing two thousand two hundred,audio_files/audio_108.wav
109,we will taxi to sector blue when ready hotel charlie november,audio_files/audio_109.wav
110,squawk four four two five and start and push pre approved position fox two foxtrot,audio_files/audio_110.wav
111,shamrock six four four runway three one clear to land wind zero six zero degrees and five knots,audio_files/audio_111.wav
112,three zero one,audio_files/audio_112.wav
113,descending flight level one hundred free speed csa one delta zulu,audio_files/audio_113.wav
114,lot five two seven right heading two five zero to the right heading two five zero lot five two sev,audio_files/audio_114.wav
115,descend flight level two nine zero csa two eight,audio_files/audio_115.wav
116,two zero five five zero good bye quality eight nine sierra thanks for the shortcut,audio_files/audio_116.wav
117,praha radar good day easy two five eight quebec one two bravo passing one thousand seven hundred climbing five,audio_files/audio_117.wav
118,speed two two zero knots descending flight level one zero zero csa five six one,audio_files/audio_118.wav
119,thank you,audio_files/audio_119.wav
120,flight level three five zero is available with mach point eight four or less,audio_files/audio_120.wav
121,climb to flight level one six zero csa four delta romeo,audio_files/audio_121.wav
122,minimum approach speed csa seven zero one,audio_files/audio_122.wav
123,climb flight level three three zero cimber zero five,audio_files/audio_123.wav
124,klm one eight four eight contact praha one three three decimal three nine zero good by,audio_files/audio_124.wav
125,lufthansa four november lima praha hello radar contact climb flight level three hundred,audio_files/audio_125.wav
126,two two bravo bye,audio_files/audio_126.wav
127,descending flight level nine zero five five alfa two,audio_files/audio_127.wav
128,esta,audio_files/audio_128.wav
129,chen one three three de,audio_files/audio_129.wav
130,csa nine two delta radar departure set heading three six zero,audio_files/audio_130.wav
131,descend flight level nine zero contact one one nine decimal zero to,audio_files/audio_131.wav
132,praha radar air berlin five three eight lima climbing flight level two eight zero inbound lanux,audio_files/audio_132.wav
133,air malta five three nine radar departure terminated proceed direct to cerno,audio_files/audio_133.wav
134,left heading three four zero cleared ils three one i call established csa,audio_files/audio_134.wav
135,lufthansa four uniform alfa one three three two eight five,audio_files/audio_135.wav
136,lufthansa eight hotel romeo climb flight level one six zero,audio_files/audio_136.wav
137,klm one three five one contact ground one two one nine good bye one two one nine klm one three five one good day,audio_files/audio_137.wav
138,singapoore two five hello radar contact,audio_files/audio_138.wav
139,praha radar wizz air five two one descend to the flight level back flight level three eight zero,audio_files/audio_139.wav
140,csa eight two six runway one three cleared for takeoff wind one four zero degrees three knots,audio_files/audio_140.wav
141,three two zero,audio_files/audio_141.wav
142,csa seven two six contact praha radar one two seven decimal eight two five,audio_files/audio_142.wav
143,direct to,audio_files/audio_143.wav
144,any air short,audio_files/audio_144.wav
145,ok descend flight level eight zero flight level eight,audio_files/audio_145.wav
146,tower malev eight two zero fully established three one,audio_files/audio_146.wav
147,clear to land shamrock six four four,audio_files/audio_147.wav
148,air france three nine three victor line up runway one three,audio_files/audio_148.wav
149,csa three sierra lima any chance to,audio_files/audio_149.wav
150,ruzyne tower csa five seven three establish ils approach runway,audio_files/audio_150.wav
151,tower hello nor shuttle one five zero three,audio_files/audio_151.wav
152,sion tower at departure echo two for turn bravo papa zulu,audio_files/audio_152.wav
153,climbing three one zero on the way to agnav,audio_files/audio_153.wav
154,descending flight level nine zero swiss,audio_files/audio_154.wav
155,descending flight level two nine zero be level over tomti wizz air five three five,audio_files/audio_155.wav
156,donavia three zero five runway three one clear to land wind three three zero degrees and three knots,audio_files/audio_156.wav
157,roger when vacated runway con,audio_files/audio_157.wav
158,affirmatif montana,audio_files/audio_158.wav
159,air france two four eight three climb flight level two zero zero climbing flight level two hundred air f,audio_files/audio_159.wav
160,beair five five two radar radar contace descend flight level one zero zero and papa information,audio_files/audio_160.wav
161,sky travel six eight two taxi zulu bravo delta lima holding point ru,audio_files/audio_161.wav
162,roger start and push approved,audio_files/audio_162.wav
163,papa ground one,audio_files/audio_163.wav
164,lufthansa eight papa lima contact bratislava one three four decimal four seven five,audio_files/audio_164.wav
165,one three two one five five lufthansa six zero one,audio_files/audio_165.wav
166,csa six two two runway three one cleared for takeoff wind one eight zero degrees five knots takeoff runway three one csa six two two,audio_files/audio_166.wav
167,air china nine six one praha hello radar contact,audio_files/audio_167.wav
168,climb flight level three three zero csa four zero six,audio_files/audio_168.wav
169,csa six two three ground one two one decimal nine one two one nine csa six two three,audio_files/audio_169.wav
170,lufthansa three charlie hotel one three five one three five good bye,audio_files/audio_170.wav
171,runway three one cleared for takeoff and we need another thirdy seconds behind departure,audio_files/audio_171.wav
172,seven five el al two five two have a nice flight bye bye,audio_files/audio_172.wav
173,maintaining three four,audio_files/audio_173.wav
174,turkish three whiskey quebec taxi via echo and echo seven hold short of runway one six,audio_files/audio_174.wav
175,to the left heading one five zero lot five two ze,audio_files/audio_175.wav
176,one one eight three seven five aero flot one five zero thank you bye,audio_files/audio_176.wav
177,klm one three five one ruzyne tower good moorning runway three one clear to land wind one seven zero degrees three knots,audio_files/audio_177.wav
178,lufthansa one four nine zero request level three three zero,audio_files/audio_178.wav
179,six one three inbound rapet,audio_files/audio_179.wav
180,csa seven eight nine tower one one eight one one one eight decimal one csa seven ei,audio_files/audio_180.wav
181,praha good morning euro trans six three two one climbing flight level two nine zero direct odnem,audio_files/audio_181.wav
182,ve good day level one six zero one two zero,audio_files/audio_182.wav
183,ryan air three,audio_files/audio_183.wav
184,eight five six descend flight level eight zero,audio_files/audio_184.wav
185,zero for cruise over delta romeo november,audio_files/audio_185.wav
186,austrian one two eight xray contact vienna one three one decimal three five zero,audio_files/audio_186.wav
187,praha radar sierra papa november sierra tango inbound victor lima mike squawking five one,audio_files/audio_187.wav
188,lufthansa nine kilo yankee de,audio_files/audio_188.wav
189,csa six three bravo left turn proceed direct rapet,audio_files/audio_189.wav
190,csa six three one descend to flight level nine zer,audio_files/audio_190.wav
191,csa nine zero five with present heading for vectoring descend four thousand feet altitude qnh one zero one eight,audio_files/audio_191.wav
192,one two one decimal nine csa eight tango,audio_files/audio_192.wav
193,austrian seven one climb flight level three three zero,audio_files/audio_193.wav
194,csa three seven bravo vectors for sequence right heading three one oscar speed one eight zero knots,audio_files/audio_194.wav
195,climbing to flight level three two zero twin star eight nine three,audio_files/audio_195.wav
196,praha good evening austrian three seven seven alfa level three five zero climbing three eight zero,audio_files/audio_196.wav
197,hotel india victor danke,audio_files/audio_197.wav
198,praha radar time air six one two papa descending flight level one five zero,audio_files/audio_198.wav
199,nh one ze,audio_files/audio_199.wav
200,lufthansa nine kilo yankee report established,audio_files/audio_200.wav
201,ryan air seven four zulu foxtrot hello praha radar contact descend flight level two nine zero,audio_files/audio_201.wav
202,csa two eight whiskey contact radar one one eight decimal three seven five,audio_files/audio_202.wav
203,euro trans five three three seven direct mitni,audio_files/audio_203.wav
204,heli charlie zulu we have the traffic in sight,audio_files/audio_204.wav
205,csa four two zero what level you expect overhead,audio_files/audio_205.wav
206,ruzyne tower csa six three alfa approaching holding point runway three one and ready for departure,audio_files/audio_206.wav
207,csa seven seven three contact praha one two seven decimal one two five good bye,audio_files/audio_207.wav
208,easy five four eight seven praha hello radar contact descend to flight level two nine zero fifteen hundred or more,audio_files/audio_208.wav
209,al five two two taxi straight ahead via bravo delta holding point runway one three,audio_files/audio_209.wav
210,lufthansa eight kilo alfa line up and wait three one and wait,audio_files/audio_210.wav
211,cleared for takeoff wind zero nine zero four knots,audio_files/audio_211.wav
212,praha lufthansa nine alfa flight level three four zero,audio_files/audio_212.wav
213,jobair zero five one papa contact praha one two seven five seven five,audio_files/audio_213.wav
214,ok continue down to level one hundred and maintain the on heading zero nine zero degrees sham,audio_files/audio_214.wav
215,three four decimal four seven five good day,audio_files/audio_215.wav
216,swiss one two four bravo reduce speed one six zero knots till four,audio_files/audio_216.wav
217,csa four nine three reduce speed one eight zero or less and turn right heading two nine zero to intercept descend three thousand five hundred,audio_files/audio_217.wav
218,we hold runway one three zero six,audio_files/audio_218.wav
219,american one five nine three four zero,audio_files/audio_219.wav
220,cimber three five two five on present heading clear to intercept and cleared for ils approach runway three one,audio_files/audio_220.wav
221,hotel lima sierra during night time visual departure is not possible,audio_files/audio_221.wav
222,nine zero csa nine six zero,audio_files/audio_222.wav
223,finn air seven five whiskey descend flight level nine zero reduce to two five zero knots,audio_files/audio_223.wav
224,ruzyne tower csa two seven zero holding one three on delta ready,audio_files/audio_224.wav
225,csa six papa charlie ruzyne tower roger,audio_files/audio_225.wav
226,turkish one seven six nine contact ruzyne ground one two one decimal nine good bye,audio_files/audio_226.wav
227,act bratis,audio_files/audio_227.wav
228,turkish one seven six eight hello radar contact climb to flight level three three zero initially,audio_files/audio_228.wav
229,praha good morning quality eight two five bravo flight level two seven zero,audio_files/audio_229.wav
230,bratislava one two five decimal,audio_files/audio_230.wav
231,radar contact maintain flight level three seven zero,audio_files/audio_231.wav
232,touch and go runway two five hotel echo xray,audio_files/audio_232.wav
233,we are not ready now foxtrot lima delta,audio_files/audio_233.wav
234,oscar kilo bravo yankee hotel,audio_files/audio_234.wav
235,lufthansa seven two seven descending flight level two five zero,audio_files/audio_235.wav
236,yes arrival track is victor lima mike one r thank you very much,audio_files/audio_236.wav
237,one two seven eight two five csa nine three zero,audio_files/audio_237.wav
238,descending flight level one zero zero switching one one nine zero csa six two three,audio_files/audio_238.wav
239,praha good evening lufthansa one victor charlie,audio_files/audio_239.wav
240,hello britair nine zero two delta ruzyne tower roger line up runway three one line up runway,audio_files/audio_240.wav
241,csa seven three zero roger line up runway three one cleared for takeoff wind calm,audio_files/audio_241.wav
242,german wings seven papa descend flight level eight zero,audio_files/audio_242.wav
243,one three three four one zero csa eight zero two,audio_files/audio_243.wav
244,sky travel one zero three seven descend flight level seven zero,audio_files/audio_244.wav
245,oscar yankee romeo,audio_files/audio_245.wav
246,csa one nine six three,audio_files/audio_246.wav
247,n two six nine six sierra contact ruzyne tower one one eight decimal one good bye on tower good bye two six nine six sierra,audio_files/audio_247.wav
248,jobair zero eighty one now climb to flight level one four zero,audio_files/audio_248.wav
249,three zero,audio_files/audio_249.wav
250,three seven mike thank you,audio_files/audio_250.wav
251,climbing flight level one six zero csa nine two delta,audio_files/audio_251.wav
252,proceed two zero nine praha good morning radar contact direct to victor lima mike follow victor lima mike one romeo arrival,audio_files/audio_252.wav
253,lux air seven five six two praha hello radar contact climb to flight level three four zero,audio_files/audio_253.wav
254,praha csa four two zero flight level two three seven climbing flight level two eight zero,audio_files/audio_254.wav
255,qality nine one romeo request taxi,audio_files/audio_255.wav
256,calibra four zero,audio_files/audio_256.wav
257,descending flight level nine zero one one nine zero bye swiss one two four alfa,audio_files/audio_257.wav
258,oscar lima zulu contact praha information one two six decimal one good bye vfr descend approved,audio_files/audio_258.wav
259,and german wings seven five five climb to flight level three four zero,audio_files/audio_259.wav
260,speed zero maintain,audio_files/audio_260.wav
261,clear ils,audio_files/audio_261.wav
262,speed one eight zero knots and request de,audio_files/audio_262.wav
263,direct rapet,audio_files/audio_263.wav
264,roger downwind two five hotel papa mike,audio_files/audio_264.wav
265,d contact ruzyne radar one one nine decimal zero,audio_files/audio_265.wav
266,praha radar good morning qatari zero two seven level three five zero,audio_files/audio_266.wav
267,hello lufthansa seven eight seven heavy ruzyne tower continue approach,audio_files/audio_267.wav
268,jobair zero six one line up runway three one,audio_files/audio_268.wav
269,csa four delta romeo line up runway one three and wai,audio_files/audio_269.wav
270,tower good morning lufthansa eight lima l,audio_files/audio_270.wav
271,roger cleared to descent five thousand on qnh one zero two three intercept llz three one,audio_files/audio_271.wav
272,csa eight eight zero runway three one cleared for takeoff wind one eight zero degrees four knots,audio_files/audio_272.wav
273,jobair zero five one papa descend to flight level one four zero,audio_files/audio_273.wav
274,six mike alfa taxi via blueline hotel lima holding point runway three one,audio_files/audio_274.wav
275,proceed direct lima delta z direct lima delta zulu iberaia three eight zero eight,audio_files/audio_275.wav
276,lufthansa seven kilo hotel hello tower roger expect one landing,audio_files/audio_276.wav
277,a four two zero contact praha radar one two seven decimal eight two five,audio_files/audio_277.wav
278,thank you very much direct varik klm one eight four zero,audio_files/audio_278.wav
279,swedestar zero five two contact praha radar one one eight decimal three seven five good bye,audio_files/audio_279.wav
280,lufthansa two five two six squak five one seven five,audio_files/audio_280.wav
281,climb flight level one,audio_files/audio_281.wav
282,one three six decimal four zero five bye sun turk three nine seven,audio_files/audio_282.wav
283,csa two eight seven tower continue approach,audio_files/audio_283.wav
284,austrian three zero five november praha radar contact climb flight level three zero zero,audio_files/audio_284.wav
285,ruzyne aero flot one four nine continue three one,audio_files/audio_285.wav
286,finn air seven six eight juliett praha good day radar contact climb flight level three four zero,audio_files/audio_286.wav
287,turkish one nine five three continue present heading due,audio_files/audio_287.wav
288,proceed direct romeo alfa ke,audio_files/audio_288.wav
289,german wings eight november xray praha hello radar contact climb flight level three four zero confirm requested cruising level,audio_files/audio_289.wav
290,masur austrian nine two charlie victor thank you,audio_files/audio_290.wav
291,hotel echo xray wind two seven zero degrees five knots runway two five cleared to land,audio_files/audio_291.wav
292,lufthansa nine echo lima runway one three cleared for takeoff wind zero seven zero degrees eight knots good bye,audio_files/audio_292.wav
293,lufthansa three charlie november contact bratislava one two five decimal nine six five good bye,audio_files/audio_293.wav
294,csa five three seven runway one three clear to land wind zero six zero degrees,audio_files/audio_294.wav
295,lufthansa six romeo xray runway one three,audio_files/audio_295.wav
296,roger thank you contact tower one one eight decimal one bye bye tower eighteen,audio_files/audio_296.wav
297,oscar kilo alfa lima zulu praha radar radar contact,audio_files/audio_297.wav
298,cleared to oscar lima bravo alfa via one hotel departure squawk one four three three startup approve,audio_files/audio_298.wav
299,swedestar zero five two turn right direct to venox,audio_files/audio_299.wav
300,csa nine two seven descend flight level nine zero and contact ruzyne radar one one nine decimal zero,audio_files/audio_300.wav
301,eight romeo golf descend to flight level one five zero and contact praha one two seven decimal five seven five good day,audio_files/audio_301.wav
302,oger,audio_files/audio_302.wav
303,ruzyne tower csa three sierra lima,audio_files/audio_303.wav
304,four five two,audio_files/audio_304.wav
305,oscar kilo k uniform november descend four thousand feet qnh is one zero two zero,audio_files/audio_305.wav
306,speed bird eight six zero turn left heading three three zero cleared ils three one report when established,audio_files/audio_306.wav
307,aero flot one four one turn right heading two two zero vec,audio_files/audio_307.wav
308,direct kolad finn air eight zero seven mike,audio_files/audio_308.wav
309,clear to land three one swiss four seven two echo,audio_files/audio_309.wav
310,charlie zulu wind two five which is at one four knots fato two five landing on discretion,audio_files/audio_310.wav
311,climb flight level o,audio_files/audio_311.wav
312,correct,audio_files/audio_312.wav
313,descend flight level seven zero papa,audio_files/audio_313.wav
314,air france two four eight three sorry right turn negative but after pssing ten dme,audio_files/audio_314.wav
315,praha radar good afternoon nor shuttle four five zero two approaching flight level three hundred looking for flight level three eight,audio_files/audio_315.wav
316,zulu bravo delta holding point one three call you,audio_files/audio_316.wav
317,csa seven three one contact ruzyne ground one two one decimal nine,audio_files/audio_317.wav
318,csa two mike delta continue present heading,audio_files/audio_318.wav
319,ger,audio_files/audio_319.wav
320,seven whiskey continue approach,audio_files/audio_320.wav
321,descending flight level one three zero information lim,audio_files/audio_321.wav
322,descend flight level seven zero,audio_files/audio_322.wav
323,time air eight four lima golf contact ruzyne tower one one eight decimal one good day,audio_files/audio_323.wav
324,direct rapet point confirm please airbridge cargo three eight nine,audio_files/audio_324.wav
325,good day nor shuttle one five one four praha radar radar contact descend flight level one zero zero lima information,audio_files/audio_325.wav
326,copied that thank you lot three zero six contact praha one two seven decimal one two five good bye,audio_files/audio_326.wav
327,man wing eight november xray contact praha one three three decimal three nine zero,audio_files/audio_327.wav
328,klm five six tango runway three one cleared for takeoff wind calm bye bye,audio_files/audio_328.wav
329,four zero six bye bye,audio_files/audio_329.wav
330,praha good afternoon four one six flight level two seven zero climbing three one zero,audio_files/audio_330.wav
331,german cargo five three,audio_files/audio_331.wav
332,sierra papa kilo papa sierra prah praha radar radar contact climb flight level one zero zero for,audio_files/audio_332.wav
333,csa seven three two three descend four thousand feet qnh one zero one nine cleared for ils approach runway one three,audio_files/audio_333.wav
334,lufthansa two five three one on course kolad,audio_files/audio_334.wav
335,ruzyne tower,audio_files/audio_335.wav
336,two eight dencending one seven zero information lima,audio_files/audio_336.wav
337,good morning lufthansa eight lima l ruzyne tower,audio_files/audio_337.wav
338,lot five romeo whiskey ruzyne tower,audio_files/audio_338.wav
339,mosquito six zero echo ready to check,audio_files/audio_339.wav
340,thank you man,audio_files/audio_340.wav
341,praha austrian three seven one quebec flight level two six zero climbing level two eight zero,audio_files/audio_341.wav
342,donavia three zero five roger continue approach and contact tower one one eight decimal one one nintee decimal one donavia three zero five,audio_files/audio_342.wav
343,correction hotel delta oscar sun express nine seven four,audio_files/audio_343.wav
344,six one three golf praha radar conta,audio_files/audio_344.wav
345,and ready for departure opera three hundred,audio_files/audio_345.wav
346,thank you,audio_files/audio_346.wav
347,one two one nine thank you bye bye austrian seven zero,audio_files/audio_347.wav
348,meo nine two three level one hundred swiss four seven two echo,audio_files/audio_348.wav
349,ups two contact warsaw one three four decimal nine two five bye bye,audio_files/audio_349.wav
350,lufthansa four mike hotel when ready descend flight level two five zero level by kolad,audio_files/audio_350.wav
351,descend flight level,audio_files/audio_351.wav
352,hotel golf sierra can offer you only one touch and go then upon route whiskey due to it s launch time there are no circuits approved,audio_files/audio_352.wav
353,hotel delta lima report echo two,audio_files/audio_353.wav
354,good day speed bird eight five five radar radar contact,audio_files/audio_354.wav
355,csa five bravo b contact radar one one eight decimal three seven five one one eight deci,audio_files/audio_355.wav
356,hotel delta lima via bravo then taxi your discretion blue sector if it is full green four is available,audio_files/audio_356.wav
357,affirm we descend flight and we are ready for visual delta alfa uniform,audio_files/audio_357.wav
358,line up runway three one,audio_files/audio_358.wav
359,radar iberia three eight zero nine go ahead is any message for me negative copy thank you,audio_files/audio_359.wav
360,sa three charlie november after vemu,audio_files/audio_360.wav
361,wizz air four romeo alfa heading one zero zero cleared for ils approach runway one three,audio_files/audio_361.wav
362,csa four yankee alfa reduce speed one six zero knots till four miles final contact ruzyne tower one one eight decimal one,audio_files/audio_362.wav
363,germania seven six four four contact praha one three four decimal five nine zero good bye,audio_files/audio_363.wav
364,ruzyne tower csa five zero nine visual approach,audio_files/audio_364.wav
365,qatari three zero six four climb flight level three seven zero,audio_files/audio_365.wav
366,so expect three three zero final level for the time,audio_files/audio_366.wav
367,channex eight eight papa romeo good evening radar radar contact climb flight level one six zero,audio_files/audio_367.wav
368,austrian seven zero six papa line up runway three one,audio_files/audio_368.wav
369,ve,audio_files/audio_369.wav
370,lufthansa two five three zero direct to one three three three nine zero good bye,audio_files/audio_370.wav
371,runway three one,audio_files/audio_371.wav
372,charlie lima golf one six four two climb flight level three five zero,audio_files/audio_372.wav
373,one two seven one two five niki eight zero one seven bye bye bye bye,audio_files/audio_373.wav
374,nine zero jobair,audio_files/audio_374.wav
375,controle this is euro trans four eight,audio_files/audio_375.wav
376,sky travel one zero zero one established,audio_files/audio_376.wav
377,nine aero flot one four three,audio_files/audio_377.wav
378,praha good afternoon turkish one seven six nine descend flight level three four zero inbound lales,audio_files/audio_378.wav
379,hello tower cimber three f,audio_files/audio_379.wav
380,roflot one four nine turn right heading two three zero,audio_files/audio_380.wav
381,hotel bravo kilo charlie juliett echo one five thousand and eight four thousand eight hundred feet,audio_files/audio_381.wav
382,increase maximum spee,audio_files/audio_382.wav
383,do you,audio_files/audio_383.wav
384,climbing three four zero and request three six zero final nor shuttle one six three three,audio_files/audio_384.wav
385,e six two euro trans six zero one one,audio_files/audio_385.wav
386,hotel whiskey alfa taxi to holding point bravo runway one four,audio_files/audio_386.wav
387,passing flight level three six two descending three five zero overhead ko,audio_files/audio_387.wav
388,tango charlie alfa romeo bravo call us on frequency one three two decimal eight zero five,audio_files/audio_388.wav
389,line up one three camber,audio_files/audio_389.wav
390,yes good evening sir i m checking in flight level three four zero overhead,audio_files/audio_390.wav
391,one one nine decimal,audio_files/audio_391.wav
392,two xray charlie inbound enita maintain three t,audio_files/audio_392.wav
393,easy three eight papa golf we are ready for depart,audio_files/audio_393.wav
394,air berlin eight four three nine,audio_files/audio_394.wav
395,zulu one four one transition climb initially five thousand feet squawk two seven six zero,audio_files/audio_395.wav
396,csa four bravo echo climb to flight level three four zero continue climbing to flight level three four zero csa four bravo echo,audio_files/audio_396.wav
397,martinair zero nine six contact rhein,audio_files/audio_397.wav
398,three five one three five bye bye lufthansa,audio_files/audio_398.wav
399,one three qnh is one zero one nine cleared visual one zero one nine swiss four nine eight yankee,audio_files/audio_399.wav
400,hello swedestar zero five two ruzyne tower,audio_files/audio_400.wav
401,lufthansa seven two two squawk one four five zero,audio_files/audio_401.wav
402,ight level three five zero to sopav,audio_files/audio_402.wav
403,passing ten dme direct to lyxa csa four two zero,audio_files/audio_403.wav
