index,text,audio_path,word_count,potential_question,potential_statement
177,klm one three five one ruzyne tower good moorning runway three one clear to land wind one seven zero degrees three knots,audio_files/audio_177.wav,22,False,True
178,lufthansa one four nine zero request level three three zero,audio_files/audio_178.wav,10,True,False
179,six one three inbound rapet,audio_files/audio_179.wav,5,False,True
180,csa seven eight nine tower one one eight one one one eight decimal one csa seven ei,audio_files/audio_180.wav,17,False,True
181,praha good morning euro trans six three two one climbing flight level two nine zero direct odnem,audio_files/audio_181.wav,17,False,True
182,ve good day level one six zero one two zero,audio_files/audio_182.wav,10,False,True
183,ryan air three,audio_files/audio_183.wav,3,False,True
184,eight five six descend flight level eight zero,audio_files/audio_184.wav,8,False,True
185,zero for cruise over delta romeo november,audio_files/audio_185.wav,7,False,True
186,austrian one two eight xray contact vienna one three one decimal three five zero,audio_files/audio_186.wav,14,False,True
187,praha radar sierra papa november sierra tango inbound victor lima mike squawking five one,audio_files/audio_187.wav,14,False,True
188,lufthansa nine kilo yankee de,audio_files/audio_188.wav,5,False,True
189,csa six three bravo left turn proceed direct rapet,audio_files/audio_189.wav,9,False,True
190,csa six three one descend to flight level nine zer,audio_files/audio_190.wav,10,False,True
191,csa nine zero five with present heading for vectoring descend four thousand feet altitude qnh one zero one eight,audio_files/audio_191.wav,19,False,True
192,one two one decimal nine csa eight tango,audio_files/audio_192.wav,8,False,True
193,austrian seven one climb flight level three three zero,audio_files/audio_193.wav,9,False,True
194,csa three seven bravo vectors for sequence right heading three one oscar speed one eight zero knots,audio_files/audio_194.wav,17,False,True
195,climbing to flight level three two zero twin star eight nine three,audio_files/audio_195.wav,12,False,True
196,praha good evening austrian three seven seven alfa level three five zero climbing three eight zero,audio_files/audio_196.wav,16,False,True
197,hotel india victor danke,audio_files/audio_197.wav,4,False,True
198,praha radar time air six one two papa descending flight level one five zero,audio_files/audio_198.wav,14,False,True
199,nh one ze,audio_files/audio_199.wav,3,False,True
200,lufthansa nine kilo yankee report established,audio_files/audio_200.wav,6,False,True
201,ryan air seven four zulu foxtrot hello praha radar contact descend flight level two nine zero,audio_files/audio_201.wav,16,False,True
202,csa two eight whiskey contact radar one one eight decimal three seven five,audio_files/audio_202.wav,13,False,True
203,euro trans five three three seven direct mitni,audio_files/audio_203.wav,8,False,True
204,heli charlie zulu we have the traffic in sight,audio_files/audio_204.wav,9,False,True
205,csa four two zero what level you expect overhead,audio_files/audio_205.wav,9,True,False
206,ruzyne tower csa six three alfa approaching holding point runway three one and ready for departure,audio_files/audio_206.wav,16,False,True
207,csa seven seven three contact praha one two seven decimal one two five good bye,audio_files/audio_207.wav,15,False,True
208,easy five four eight seven praha hello radar contact descend to flight level two nine zero fifteen hundred or more,audio_files/audio_208.wav,20,False,True
209,al five two two taxi straight ahead via bravo delta holding point runway one three,audio_files/audio_209.wav,15,False,True
210,lufthansa eight kilo alfa line up and wait three one and wait,audio_files/audio_210.wav,12,False,True
211,cleared for takeoff wind zero nine zero four knots,audio_files/audio_211.wav,9,False,True
212,praha lufthansa nine alfa flight level three four zero,audio_files/audio_212.wav,9,False,True
213,jobair zero five one papa contact praha one two seven five seven five,audio_files/audio_213.wav,13,False,True
214,ok continue down to level one hundred and maintain the on heading zero nine zero degrees sham,audio_files/audio_214.wav,17,False,True
215,three four decimal four seven five good day,audio_files/audio_215.wav,8,False,True
216,swiss one two four bravo reduce speed one six zero knots till four,audio_files/audio_216.wav,13,False,True
217,csa four nine three reduce speed one eight zero or less and turn right heading two nine zero to intercept descend three thousand five hundred,audio_files/audio_217.wav,25,False,True
218,we hold runway one three zero six,audio_files/audio_218.wav,7,False,True
219,american one five nine three four zero,audio_files/audio_219.wav,7,False,True
220,cimber three five two five on present heading clear to intercept and cleared for ils approach runway three one,audio_files/audio_220.wav,19,False,True
221,hotel lima sierra during night time visual departure is not possible,audio_files/audio_221.wav,11,False,True
222,nine zero csa nine six zero,audio_files/audio_222.wav,6,False,True
223,finn air seven five whiskey descend flight level nine zero reduce to two five zero knots,audio_files/audio_223.wav,16,False,True
224,ruzyne tower csa two seven zero holding one three on delta ready,audio_files/audio_224.wav,12,False,True
225,csa six papa charlie ruzyne tower roger,audio_files/audio_225.wav,7,False,True
226,turkish one seven six nine contact ruzyne ground one two one decimal nine good bye,audio_files/audio_226.wav,15,False,True
227,act bratis,audio_files/audio_227.wav,2,False,True
228,turkish one seven six eight hello radar contact climb to flight level three three zero initially,audio_files/audio_228.wav,16,False,True
229,praha good morning quality eight two five bravo flight level two seven zero,audio_files/audio_229.wav,13,False,True
230,bratislava one two five decimal,audio_files/audio_230.wav,5,False,True
231,radar contact maintain flight level three seven zero,audio_files/audio_231.wav,8,False,True
232,touch and go runway two five hotel echo xray,audio_files/audio_232.wav,9,False,True
233,we are not ready now foxtrot lima delta,audio_files/audio_233.wav,8,False,True
234,oscar kilo bravo yankee hotel,audio_files/audio_234.wav,5,False,True
235,lufthansa seven two seven descending flight level two five zero,audio_files/audio_235.wav,10,False,True
236,yes arrival track is victor lima mike one r thank you very much,audio_files/audio_236.wav,13,False,True
237,one two seven eight two five csa nine three zero,audio_files/audio_237.wav,10,False,True
238,descending flight level one zero zero switching one one nine zero csa six two three,audio_files/audio_238.wav,15,False,True
239,praha good evening lufthansa one victor charlie,audio_files/audio_239.wav,7,False,True
240,hello britair nine zero two delta ruzyne tower roger line up runway three one line up runway,audio_files/audio_240.wav,17,False,True
241,csa seven three zero roger line up runway three one cleared for takeoff wind calm,audio_files/audio_241.wav,15,False,True
242,german wings seven papa descend flight level eight zero,audio_files/audio_242.wav,9,False,True
243,one three three four one zero csa eight zero two,audio_files/audio_243.wav,10,False,True
244,sky travel one zero three seven descend flight level seven zero,audio_files/audio_244.wav,11,False,True
245,oscar yankee romeo,audio_files/audio_245.wav,3,False,True
246,csa one nine six three,audio_files/audio_246.wav,5,False,True
247,n two six nine six sierra contact ruzyne tower one one eight decimal one good bye on tower good bye two six nine six sierra,audio_files/audio_247.wav,25,False,True
248,jobair zero eighty one now climb to flight level one four zero,audio_files/audio_248.wav,12,False,True
249,three zero,audio_files/audio_249.wav,2,False,True
250,three seven mike thank you,audio_files/audio_250.wav,5,False,True
251,climbing flight level one six zero csa nine two delta,audio_files/audio_251.wav,10,False,True
252,proceed two zero nine praha good morning radar contact direct to victor lima mike follow victor lima mike one romeo arrival,audio_files/audio_252.wav,21,False,True
253,lux air seven five six two praha hello radar contact climb to flight level three four zero,audio_files/audio_253.wav,17,False,True
254,praha csa four two zero flight level two three seven climbing flight level two eight zero,audio_files/audio_254.wav,16,False,True
255,qality nine one romeo request taxi,audio_files/audio_255.wav,6,True,False
256,calibra four zero,audio_files/audio_256.wav,3,False,True
257,descending flight level nine zero one one nine zero bye swiss one two four alfa,audio_files/audio_257.wav,15,False,True
258,oscar lima zulu contact praha information one two six decimal one good bye vfr descend approved,audio_files/audio_258.wav,16,False,True
259,and german wings seven five five climb to flight level three four zero,audio_files/audio_259.wav,13,False,True
260,speed zero maintain,audio_files/audio_260.wav,3,False,True
261,clear ils,audio_files/audio_261.wav,2,False,True
262,speed one eight zero knots and request de,audio_files/audio_262.wav,8,True,False
263,direct rapet,audio_files/audio_263.wav,2,False,True
264,roger downwind two five hotel papa mike,audio_files/audio_264.wav,7,False,True
265,d contact ruzyne radar one one nine decimal zero,audio_files/audio_265.wav,9,False,True
266,praha radar good morning qatari zero two seven level three five zero,audio_files/audio_266.wav,12,False,True
267,hello lufthansa seven eight seven heavy ruzyne tower continue approach,audio_files/audio_267.wav,10,False,True
268,jobair zero six one line up runway three one,audio_files/audio_268.wav,9,False,True
269,csa four delta romeo line up runway one three and wai,audio_files/audio_269.wav,11,False,True
270,tower good morning lufthansa eight lima l,audio_files/audio_270.wav,7,False,True
271,roger cleared to descent five thousand on qnh one zero two three intercept llz three one,audio_files/audio_271.wav,16,False,True
272,csa eight eight zero runway three one cleared for takeoff wind one eight zero degrees four knots,audio_files/audio_272.wav,17,False,True
273,jobair zero five one papa descend to flight level one four zero,audio_files/audio_273.wav,12,False,True
274,six mike alfa taxi via blueline hotel lima holding point runway three one,audio_files/audio_274.wav,13,False,True
275,proceed direct lima delta z direct lima delta zulu iberaia three eight zero eight,audio_files/audio_275.wav,14,False,True
276,lufthansa seven kilo hotel hello tower roger expect one landing,audio_files/audio_276.wav,10,False,True
277,a four two zero contact praha radar one two seven decimal eight two five,audio_files/audio_277.wav,14,False,True
278,thank you very much direct varik klm one eight four zero,audio_files/audio_278.wav,11,False,True
279,swedestar zero five two contact praha radar one one eight decimal three seven five good bye,audio_files/audio_279.wav,16,False,True
280,lufthansa two five two six squak five one seven five,audio_files/audio_280.wav,10,False,True
281,climb flight level one,audio_files/audio_281.wav,4,False,True
282,one three six decimal four zero five bye sun turk three nine seven,audio_files/audio_282.wav,13,False,True
283,csa two eight seven tower continue approach,audio_files/audio_283.wav,7,False,True
284,austrian three zero five november praha radar contact climb flight level three zero zero,audio_files/audio_284.wav,14,False,True
285,ruzyne aero flot one four nine continue three one,audio_files/audio_285.wav,9,False,True
286,finn air seven six eight juliett praha good day radar contact climb flight level three four zero,audio_files/audio_286.wav,17,False,True
287,turkish one nine five three continue present heading due,audio_files/audio_287.wav,9,False,True
288,proceed direct romeo alfa ke,audio_files/audio_288.wav,5,False,True
289,german wings eight november xray praha hello radar contact climb flight level three four zero confirm requested cruising level,audio_files/audio_289.wav,19,True,False
290,masur austrian nine two charlie victor thank you,audio_files/audio_290.wav,8,False,True
291,hotel echo xray wind two seven zero degrees five knots runway two five cleared to land,audio_files/audio_291.wav,16,False,True
292,lufthansa nine echo lima runway one three cleared for takeoff wind zero seven zero degrees eight knots good bye,audio_files/audio_292.wav,19,False,True
293,lufthansa three charlie november contact bratislava one two five decimal nine six five good bye,audio_files/audio_293.wav,15,False,True
294,csa five three seven runway one three clear to land wind zero six zero degrees,audio_files/audio_294.wav,15,False,True
295,lufthansa six romeo xray runway one three,audio_files/audio_295.wav,7,False,True
296,roger thank you contact tower one one eight decimal one bye bye tower eighteen,audio_files/audio_296.wav,14,False,True
297,oscar kilo alfa lima zulu praha radar radar contact,audio_files/audio_297.wav,9,False,True
298,cleared to oscar lima bravo alfa via one hotel departure squawk one four three three startup approve,audio_files/audio_298.wav,17,False,True
299,swedestar zero five two turn right direct to venox,audio_files/audio_299.wav,9,False,True
300,csa nine two seven descend flight level nine zero and contact ruzyne radar one one nine decimal zero,audio_files/audio_300.wav,18,False,True
301,eight romeo golf descend to flight level one five zero and contact praha one two seven decimal five seven five good day,audio_files/audio_301.wav,22,False,True
303,ruzyne tower csa three sierra lima,audio_files/audio_303.wav,6,False,True
304,four five two,audio_files/audio_304.wav,3,False,True
305,oscar kilo k uniform november descend four thousand feet qnh is one zero two zero,audio_files/audio_305.wav,15,False,True
306,speed bird eight six zero turn left heading three three zero cleared ils three one report when established,audio_files/audio_306.wav,18,True,False
307,aero flot one four one turn right heading two two zero vec,audio_files/audio_307.wav,12,False,True
308,direct kolad finn air eight zero seven mike,audio_files/audio_308.wav,8,False,True
309,clear to land three one swiss four seven two echo,audio_files/audio_309.wav,10,False,True
310,charlie zulu wind two five which is at one four knots fato two five landing on discretion,audio_files/audio_310.wav,17,True,False
311,climb flight level o,audio_files/audio_311.wav,4,False,True
313,descend flight level seven zero papa,audio_files/audio_313.wav,6,False,True
314,air france two four eight three sorry right turn negative but after pssing ten dme,audio_files/audio_314.wav,15,False,True
315,praha radar good afternoon nor shuttle four five zero two approaching flight level three hundred looking for flight level three eight,audio_files/audio_315.wav,21,False,True
316,zulu bravo delta holding point one three call you,audio_files/audio_316.wav,9,False,True
317,csa seven three one contact ruzyne ground one two one decimal nine,audio_files/audio_317.wav,12,False,True
318,csa two mike delta continue present heading,audio_files/audio_318.wav,7,False,True
320,seven whiskey continue approach,audio_files/audio_320.wav,4,False,True
321,descending flight level one three zero information lim,audio_files/audio_321.wav,8,False,True
322,descend flight level seven zero,audio_files/audio_322.wav,5,False,True
323,time air eight four lima golf contact ruzyne tower one one eight decimal one good day,audio_files/audio_323.wav,16,False,True
324,direct rapet point confirm please airbridge cargo three eight nine,audio_files/audio_324.wav,10,True,False
325,good day nor shuttle one five one four praha radar radar contact descend flight level one zero zero lima information,audio_files/audio_325.wav,20,False,True
326,copied that thank you lot three zero six contact praha one two seven decimal one two five good bye,audio_files/audio_326.wav,19,False,True
327,man wing eight november xray contact praha one three three decimal three nine zero,audio_files/audio_327.wav,14,False,True
328,klm five six tango runway three one cleared for takeoff wind calm bye bye,audio_files/audio_328.wav,14,False,True
329,four zero six bye bye,audio_files/audio_329.wav,5,False,True
330,praha good afternoon four one six flight level two seven zero climbing three one zero,audio_files/audio_330.wav,15,False,True
331,german cargo five three,audio_files/audio_331.wav,4,False,True
332,sierra papa kilo papa sierra prah praha radar radar contact climb flight level one zero zero for,audio_files/audio_332.wav,17,False,True
333,csa seven three two three descend four thousand feet qnh one zero one nine cleared for ils approach runway one three,audio_files/audio_333.wav,21,False,True
334,lufthansa two five three one on course kolad,audio_files/audio_334.wav,8,False,True
335,ruzyne tower,audio_files/audio_335.wav,2,False,True
336,two eight dencending one seven zero information lima,audio_files/audio_336.wav,8,False,True
337,good morning lufthansa eight lima l ruzyne tower,audio_files/audio_337.wav,8,False,True
338,lot five romeo whiskey ruzyne tower,audio_files/audio_338.wav,6,False,True
339,mosquito six zero echo ready to check,audio_files/audio_339.wav,7,False,True
340,thank you man,audio_files/audio_340.wav,3,False,True
341,praha austrian three seven one quebec flight level two six zero climbing level two eight zero,audio_files/audio_341.wav,16,False,True
342,donavia three zero five roger continue approach and contact tower one one eight decimal one one nintee decimal one donavia three zero five,audio_files/audio_342.wav,23,False,True
343,correction hotel delta oscar sun express nine seven four,audio_files/audio_343.wav,9,False,True
344,six one three golf praha radar conta,audio_files/audio_344.wav,7,False,True
345,and ready for departure opera three hundred,audio_files/audio_345.wav,7,False,True
346,thank you,audio_files/audio_346.wav,2,False,True
347,one two one nine thank you bye bye austrian seven zero,audio_files/audio_347.wav,11,False,True
